,Title,Year,AltTitleList
5672,Über die Wirkungen Hypertonischer Traubenzuckerlösungen auf das Froschherz,1924,Über die Wirkungen Hypertonischer Traubenzuckerlösungen auf das Froschherz
5673,Über die Anwesenheit des Herpesvirus im Blut der Herpeskranken Während der Eruptionszeit und im Latenten Zustande Während der Zwischenperioden,1924,Über die Anwesenheit des Herpesvirus im Blut der Herpeskranken Während der Eruptionszeit und im Latenten Zustande Während der Zwischenperioden
5674,Über die „Einheiten“ des Insulins,1924,Über die „Einheiten“ des Insulins
5675,Der Schutz des Durchleuchters,1924,Der Schutz des Durchleuchters
5676,Über die Beziehungen der Alveolaren Kohlensäurespannung zur Magensaftsekretion Nach Nahrungsaufnahme,1924,Über die Beziehungen der Alveolaren Kohlensäurespannung zur Magensaftsekretion Nach Nahrungsaufnahme
5677,Über die Wirkung des Insulins auf die Zuckerbildung der Froschleber,1924,Über die Wirkung des Insulins auf die Zuckerbildung der Froschleber
5678,Die Blutkörperchensenkung bei Polycythämie,1924,Die Blutkörperchensenkung bei Polycythämie
5679,Theorie der Insulinwirkung,1924,Theorie der Insulinwirkung
5680,Über Krampfaderbehandlung,1924,Über Krampfaderbehandlung
5681,Zur Ursache der Schwüle,1924,Zur Ursache der Schwüle
5682,Über die Pathogenese des Herpes Febrilis,1924,Über die Pathogenese des Herpes Febrilis
5683,"Über das Schicksal von Frauen, die eine Gestationstoxikose (Nierenerkrankung, Eklampsie) Durchgemacht Haben",1924,"Über das Schicksal von Frauen, die eine Gestationstoxikose (Nierenerkrankung, Eklampsie) Durchgemacht Haben"
5684,Ein Fall von Dermatoneuromyositis mit Ausgang in Sklerodermie,1924,Ein Fall von Dermatoneuromyositis mit Ausgang in Sklerodermie
5685,über die Wirkung des Arsens auf den Stoffwechsel,1924,über die Wirkung des Arsens auf den Stoffwechsel
5686,Über Kupfersulfatvergiftungen,1924,Über Kupfersulfatvergiftungen
5687,Die Verbreitung und Bekämpfung der Syphilis im Gefängnis,1924,Die Verbreitung und Bekämpfung der Syphilis im Gefängnis
5689,Zur Kenntnis der experimentellen Fluornatriumvergiftungen,1924,Zur Kenntnis der experimentellen Fluornatriumvergiftungen
5690,Die gerichtsärztliche und sozialärztliche Bedeutung der Kastration und Sterilisation als Heilmittel,1924,Die gerichtsärztliche und sozialärztliche Bedeutung der Kastration und Sterilisation als Heilmittel
5691,Über Selbstbeschädigungen bei Gefangenen,1924,Über Selbstbeschädigungen bei Gefangenen
5692,Cerebrale und Urämische Hyperpnöe,1924,Cerebrale und Urämische Hyperpnöe
5693,"Studien zur Physiologie des Krebsherzens, besonders über eine aktive Funktion des „Pericard“ bei Cancer Pagurus",1924,"Studien zur Physiologie des Krebsherzens, besonders über eine aktive Funktion des „Pericard“ bei Cancer Pagurus"
5694,Über die Muskel- und Nervenphysiologie von Arenicola marina,1924,Über die Muskel- und Nervenphysiologie von Arenicola marina
5695,Zur Analyse von Gleichgewichtsstörungen bei Naturfunden,1924,Zur Analyse von Gleichgewichtsstörungen bei Naturfunden
5696,"Summary report of seed potato inspection and certification in the Province of Alberta, Canada, in 1923",1923,"Summary report of seed potato inspection and certification in the Province of Alberta, Canada, in "
5697,Die Färbung und Zeichnung der Feuerwanze (Pyrrhocoris Apterus L.) und ihre experimentelle Beeinflussbarkeit,1924,Die Färbung und Zeichnung der Feuerwanze (Pyrrhocoris Apterus L.) und ihre experimentelle Beeinflussbarkeit
5698,Über den Farbensinn der Fische,1924,Über den Farbensinn der Fische
5699,1921 (Dekanatsjahr 1920/21). Zahnärztliche Dissertation,1921, (Dekanatsjahr /). Zahnärztliche Dissertation
5700,Aerobe und anaerobe Atmung bei Keimlingen von pisum satium,1923,Aerobe und anaerobe Atmung bei Keimlingen von pisum satium
5701,Ärzte-Memoiren aus vier Jahrhunderten,1923,Ärzte-Memoiren aus vier Jahrhunderten
5702,Ärztliches Denken,1923,Ärztliches Denken
5703,Ärztliches Denken,1923,Ärztliches Denken
5704,Allgemeine Maschinenlehre,1923,Allgemeine Maschinenlehre
5705,Allgemeine Psychopathologie,1923,Allgemeine Psychopathologie
5706,Amerikanische und deutsche Großdampfkessel,1923,Amerikanische und deutsche Großdampfkessel
5708,Aufgaben zum kaufmännischen Rechnen mit ausgeführten Beispielen / H. 2,1923,Aufgaben zum kaufmännischen Rechnen mit ausgeführten Beispielen / H. 
5709,Ausgleichsrechnung nach der Methode der Kleinsten Quadrate,1923,Ausgleichsrechnung nach der Methode der Kleinsten Quadrate
5710,Auskunftsbuch für die chemische Industrie. Halbband 2,1923,Auskunftsbuch für die chemische Industrie. Halbband 
5711,Bau und Berechnung der Dampfturbinen,1923,Bau und Berechnung der Dampfturbinen
5765,Beitrag zur Geschichte der Gesundheitspflege der Haustiere bei den Ostasiaten (Chinesische Kultur),1923,Beitrag zur Geschichte der Gesundheitspflege der Haustiere bei den Ostasiaten (Chinesische Kultur)
5766,Beitrag zur Kenntnis des Plasmocytom,1923,Beitrag zur Kenntnis des Plasmocytom
5768,Besteht ein innerer Zusammenhang zwischen Psoriasis und Vitiligo?,1923,Besteht ein innerer Zusammenhang zwischen Psoriasis und Vitiligo?
5769,Bilanztechnik und Bilanzkritik,1923,Bilanztechnik und Bilanzkritik
5770,Botanical Pen-Portraits,1923,Botanical Pen-Portraits
5771,Buchführung für Klein- und Großbetriebe,1923,Buchführung für Klein- und Großbetriebe
5772,Buchführung für Klein- und Großbetriebe,1923,Buchführung für Klein- und Großbetriebe
5773,Chemisch-technische Untersuchungsmethoden,1923,Chemisch-technische Untersuchungsmethoden
5774,Chemisch-Technische Vorschriften,1923,Chemisch-Technische Vorschriften
5775,Chemische Technologie des Steinkohlenteers,1923,Chemische Technologie des Steinkohlenteers
5776,Comparison of Principal Points of Standards for Electrical Machinery (Rotating Machines and Transformers),1923,Comparison of Principal Points of Standards for Electrical Machinery (Rotating Machines and Transformers)
5777,Comparison of Principal Points of Standards for Electrical Machinery (Rotating Machines and Transformers),1923,Comparison of Principal Points of Standards for Electrical Machinery (Rotating Machines and Transformers)
5778,Das Acetylen,1923,Das Acetylen
5779,Das Glyzerin,1923,Das Glyzerin
5780,Das Herz und die Blutgefäße,1923,Das Herz und die Blutgefäße
5781,Das Körperschema,1923,Das Körperschema
5782,Das Körperschema,1923,Das Körperschema
5783,Das Kupferschweißverfahren insbesondere bei Lokomotiv-Feuerbüchsen,1923,Das Kupferschweißverfahren insbesondere bei Lokomotiv-Feuerbüchsen
5784,Das Kupferschweißverfahren insbesondere bei Lokomotiv-Feuerbüchsen,1923,Das Kupferschweißverfahren insbesondere bei Lokomotiv-Feuerbüchsen
5785,Das Tuberkulose-Problem,1923,Das Tuberkulose-Problem
5786,Das Verhalten des Druckes im Pleuraraum bei der Atmung und die Ursachen seiner Veränderlichkeit,1923,Das Verhalten des Druckes im Pleuraraum bei der Atmung und die Ursachen seiner Veränderlichkeit
5787,Das Verhalten des Druckes im Pleuraraum bei der Atmung und die Ursachen seiner Veränderlichkeit,1923,Das Verhalten des Druckes im Pleuraraum bei der Atmung und die Ursachen seiner Veränderlichkeit
5788,Der Aufbau der Psychose,1923,Der Aufbau der Psychose
5789,Der Aufbau der Psychose,1923,Der Aufbau der Psychose
5790,Der Drehstrommotor,1923,Der Drehstrommotor
5791,Der Drehstrommotor,1923,Der Drehstrommotor
5792,Der Durchfluß des Wassers durch Röhren und Gräben insbesondere durch Werkgräben großer Abmessungen,1923,Der Durchfluß des Wassers durch Röhren und Gräben insbesondere durch Werkgräben großer Abmessungen
5793,Der Einfluss Tiefer Atmung auf den Herzrhythmus (Sinusrhythmus) und Seine Klinische Verwendung,1923,Der Einfluss Tiefer Atmung auf den Herzrhythmus (Sinusrhythmus) und Seine Klinische Verwendung
5794,Der Einfluss Tiefer Atmung auf den Herzrhythmus (Sinusrhythmus) und Seine Klinische Verwendung,1923,Der Einfluss Tiefer Atmung auf den Herzrhythmus (Sinusrhythmus) und Seine Klinische Verwendung
5799,Der eiserne Zimmerofen,1923,Der eiserne Zimmerofen
5800,Der Feinere Bau der Blutcapillaren,1923,Der Feinere Bau der Blutcapillaren
5801,Der Fürst und kleinere Schriften,1923,Der Fürst und kleinere Schriften
5802,Der Glimmschutz,1923,Der Glimmschutz
5803,Der praktische Maschinenbauer,1923,Der praktische Maschinenbauer
5806,Der Regelvorgang bei Kraftmaschinen,1923,Der Regelvorgang bei Kraftmaschinen
5807,Der Verlauf der Lungentuberkulose bei vorangegangener anders lokalisierter Tuberkulose,1923,Der Verlauf der Lungentuberkulose bei vorangegangener anders lokalisierter Tuberkulose
5808,Der Weg Zum Käufer,1923,Der Weg Zum Käufer
5809,Deutsches Kranbuch,1923,Deutsches Kranbuch
5810,Deutsches Kranbuch,1923,Deutsches Kranbuch
5811,Die Abwärmeverwertung im Kraftmaschinenbetrieb,1923,Die Abwärmeverwertung im Kraftmaschinenbetrieb
5812,Die Arbeit des Patentingenieurs,1923,Die Arbeit des Patentingenieurs
5813,Die Chirurgie des Anfängers,1923,Die Chirurgie des Anfängers
5814,Die Dampfkessel,1923,Die Dampfkessel
5815,Die Digitalis und Ihre Therapeutische Anwendung,1923,Die Digitalis und Ihre Therapeutische Anwendung
5816,Die Digitalis und Ihre Therapeutische Anwendung,1923,Die Digitalis und Ihre Therapeutische Anwendung
5817,Die Eisen- und Manganerze der Schweiz / Lfg 1,1923,Die Eisen- und Manganerze der Schweiz / Lfg 
5819,Die Elektromotren in ihrer Wirkungsweise und Anwendung,1923,Die Elektromotren in ihrer Wirkungsweise und Anwendung
5820,Die ersten 25 Jahre der Deutschen Gesellschaft für Chirurgie,1923,Die ersten  Jahre der Deutschen Gesellschaft für Chirurgie
5821,Die Extrapyramidalen Erkrankungen,1923,Die Extrapyramidalen Erkrankungen
5822,Die Extrapyramidalen Erkrankungen,1923,Die Extrapyramidalen Erkrankungen
5823,Die flüssigen Brennstoffe,1923,Die flüssigen Brennstoffe
5824,Die Funktionelle Albuminurie und Nephritis im Kindesalter,1923,Die Funktionelle Albuminurie und Nephritis im Kindesalter
5825,"Die Funktionen des Stirnhirns, ihre Pathologie und Psychologie",1923,"Die Funktionen des Stirnhirns, ihre Pathologie und Psychologie"
5826,Die Gaserzeuger,1923,Die Gaserzeuger
5827,Die geburtshilflich-gynäkologische Untersuchung,1923,Die geburtshilflich-gynäkologische Untersuchung
5828,Die geburtshilflich-gynäkologische Untersuchung,1923,Die geburtshilflich-gynäkologische Untersuchung
5829,Die Grundlagen der Nomographie,1923,Die Grundlagen der Nomographie
5830,Die Heilkräfte des Logos,1923,Die Heilkräfte des Logos
5831,Die Industrie der Steinkohlenveredelung,1923,Die Industrie der Steinkohlenveredelung
5832,Die Innere Sekretion,1923,Die Innere Sekretion
5834,Die Konstruktionsstähle und ihre Wärmebehandlung,1923,Die Konstruktionsstähle und ihre Wärmebehandlung
5835,Die Konzentration des Lytischen Prinzips und ihre Beziehungen zum Ablauf der Bakteriophagenreaktion,1923,Die Konzentration des Lytischen Prinzips und ihre Beziehungen zum Ablauf der Bakteriophagenreaktion
5836,Die Krankheiten der Endokrinen Drüsen,1923,Die Krankheiten der Endokrinen Drüsen
5837,Die Kretinische Entartung,1923,Die Kretinische Entartung
5838,Die Lehre vom Status thymico-lymphaticus,1923,Die Lehre vom Status thymico-lymphaticus
5839,Die Lehre vom Status thymico-lymphaticus,1923,Die Lehre vom Status thymico-lymphaticus
5840,Die Lichtbogenzündung nebst Störungserscheinungen,1923,Die Lichtbogenzündung nebst Störungserscheinungen
5841,Die Lungenphthise,1923,Die Lungenphthise
5842,Die Masernprophylaxe und Ihre Technik,1923,Die Masernprophylaxe und Ihre Technik
5843,Die Masernprophylaxe und Ihre Technik,1923,Die Masernprophylaxe und Ihre Technik
5844,Die Materialprüfung der Isolierstoffe der Elektrotechnik,1923,Die Materialprüfung der Isolierstoffe der Elektrotechnik
5845,Die Methode der Festpunkte,1923,Die Methode der Festpunkte
5846,Die moderne Stanzerei,1923,Die moderne Stanzerei
5847,Die Nassbagger und die dazu gehörenden Hilfsgeräte,1923,Die Nassbagger und die dazu gehörenden Hilfsgeräte
5848,"Die neueren chemotherapeutischen Präparate aus der Chininreihe (Optochin, im besonderen Eukupin und Vuzin) und aus der Akridinreihe (Trypaflavin, Rivanol)",1923,"Die neueren chemotherapeutischen Präparate aus der Chininreihe (Optochin, im besonderen Eukupin und Vuzin) und aus der Akridinreihe (Trypaflavin, Rivanol)"
5849,Die Nierenfunktionsprüfungen im Dienst der Chirurgie,1923,Die Nierenfunktionsprüfungen im Dienst der Chirurgie
5850,Die pathologische Physiologie des Gesamtstoff- und Kraftwechsels bei der Ernährung des Menschen,1923,Die pathologische Physiologie des Gesamtstoff- und Kraftwechsels bei der Ernährung des Menschen
5851,Die pathologische Physiologie des Gesamtstoff- und Kraftwechsels bei der Ernährung des Menschen,1923,Die pathologische Physiologie des Gesamtstoff- und Kraftwechsels bei der Ernährung des Menschen
5852,Die Physikalische Chemie in der Inneren Medizin,1923,Die Physikalische Chemie in der Inneren Medizin
5853,Die Physiologie und Pharmakologie des Flimmerns,1923,Die Physiologie und Pharmakologie des Flimmerns
5854,Die Psychopathologie des Kindesalters,1923,Die Psychopathologie des Kindesalters
5857,Die Reklame des Maschinenbaues,1923,Die Reklame des Maschinenbaues
5858,Die Reklame des Maschinenbaues,1923,Die Reklame des Maschinenbaues
5859,Die Russische Hunger- und Seuchenkatastrophe In Den Jahren 1921–1922,1921,Die Russische Hunger- und Seuchenkatastrophe In Den Jahren –
5860,Die Salvarsanbehandlung der Syphilis,1923,Die Salvarsanbehandlung der Syphilis
5863,Die Schreibmaschine und ihre Entwicklungsgeschichte / Bd. 1,1923,Die Schreibmaschine und ihre Entwicklungsgeschichte / Bd. 
5864,Die Schreibmaschine und ihre Entwicklungsgeschichte / Bd. 2,1923,Die Schreibmaschine und ihre Entwicklungsgeschichte / Bd. 
5865,Die Schrift und ihre Entwicklung zur modernen Stenographie,1923,Die Schrift und ihre Entwicklung zur modernen Stenographie
5866,Die Schüttelerscheinungen elektrischer Lokomotiven mit Kurbelantrieb,1923,Die Schüttelerscheinungen elektrischer Lokomotiven mit Kurbelantrieb
5867,Die Selbstkostenberechnung im Fabrikbetriebe,1923,Die Selbstkostenberechnung im Fabrikbetriebe
5868,Die Stationsschwester,1923,Die Stationsschwester
5869,Die Stationsschwester,1923,Die Stationsschwester
5870,Die Steuerungen der Dampfmaschinen,1923,Die Steuerungen der Dampfmaschinen
5871,Die Syphilis,1923,Die Syphilis
5872,Die Syphilis,1923,Die Syphilis
5873,Die systematische (doppelte) Buchführung,1923,Die systematische (doppelte) Buchführung
5874,Die systematische (doppelte) Buchführung,1923,Die systematische (doppelte) Buchführung
5875,Die Therapie der akuten Leukämie,1923,Die Therapie der akuten Leukämie
5878,Die Verhütung des Knickfusses und des Knickplattfusses,1923,Die Verhütung des Knickfusses und des Knickplattfusses
5879,Die Wirkungen der Alkoholknappheit Während des Weltkrieges,1923,Die Wirkungen der Alkoholknappheit Während des Weltkrieges
5880,Die wissenschaftliche Ausbildung,1923,Die wissenschaftliche Ausbildung
5881,Die Zellulose,1923,Die Zellulose
5882,Die Zellulose,1923,Die Zellulose
5883,Eduard Kaufmann: Lehrbuch der speziellen pathologischen Anatomie/Eduard Kaufmann: Lehrbuch der speziellen pathologischen Anatomie. Band 2,1923,Eduard Kaufmann: Lehrbuch der speziellen pathologischen Anatomie/Eduard Kaufmann: Lehrbuch der speziellen pathologischen Anatomie. Band 
5884,Ein Beitrag zum pathologisch-anatomischen Befund bei Granatsplitterverletzung des Auges,1923,Ein Beitrag zum pathologisch-anatomischen Befund bei Granatsplitterverletzung des Auges
5885,"Ein Fall von akuter lymphatischer Leukämie &lt;""Leukanämie""&gt;",1923,"Ein Fall von akuter lymphatischer Leukämie &lt;""Leukanämie""&gt;"
5886,Ein Fall von Pankreascyste bei einem Kinde,1923,Ein Fall von Pankreascyste bei einem Kinde
5887,Ein Fall von Siderosis bulbi,1923,Ein Fall von Siderosis bulbi
5888,"Einfluß der Reaktion, insbesondere des Bodens, auf die Fortentwicklung des Rotlauf- bzw. Murisepticus — Bacillus",1923,"Einfluß der Reaktion, insbesondere des Bodens, auf die Fortentwicklung des Rotlauf- bzw. Murisepticus — Bacillus"
5889,Einführung in die Allgemeine und Spezielle Vererbungspathologie des Menschen,1923,Einführung in die Allgemeine und Spezielle Vererbungspathologie des Menschen
5890,Einführung in die Allgemeine und Spezielle Vererbungspathologie des Menschen,1923,Einführung in die Allgemeine und Spezielle Vererbungspathologie des Menschen
5891,"Einführung in die Physikalische Chemie für Biochemiker, Mediziner, Pharmazeuten und Naturwissenschaftler",1923,"Einführung in die Physikalische Chemie für Biochemiker, Mediziner, Pharmazeuten und Naturwissenschaftler"
5892,Eisenbetonbau,1923,Eisenbetonbau
5893,Eisenbetonbau,1923,Eisenbetonbau
5894,Elektrische Durchbruchfeldstärke von Gasen,1923,Elektrische Durchbruchfeldstärke von Gasen
5895,Elektrische Schaltvorgänge und verwandte Störungserscheinungen in Starkstromanlagen,1923,Elektrische Schaltvorgänge und verwandte Störungserscheinungen in Starkstromanlagen
5897,Elektronen- und Ionen-Ströme,1923,Elektronen- und Ionen-Ströme
5898,Elektrotechnische Meßinstrumente,1923,Elektrotechnische Meßinstrumente
5899,Elektrotherapie,1923,Elektrotherapie
5900,"&lt;Emphasis Type=""Bold""&gt;Die neueren chemotherapeutischen Präparate aus der Chininreihe&lt;/Emphasis&gt; (Optochin, im besonderen Eukupin und Vuzin) &lt;Emphasis Type=""Bold""&gt;und aus der Akridinreihe&lt;/Emphasis&gt; (Trypaflavin, Rivanol)",1923,"&lt;Emphasis Type=""Bold""&gt;Die neueren chemotherapeutischen Präparate aus der Chininreihe&lt;/Emphasis&gt; (Optochin, im besonderen Eukupin und Vuzin) &lt;Emphasis Type=""Bold""&gt;und aus der Akridinreihe&lt;/Emphasis&gt; (Trypaflavin, Rivanol)"
5901,Erfahrungen mit dem künstlichen Pneumothorax an der Rostocker Klinik vom Jahre 1918-1923,1918,Erfahrungen mit dem künstlichen Pneumothorax an der Rostocker Klinik vom Jahre -
5907,Ernährung und Pflege des Säuglings,1923,Ernährung und Pflege des Säuglings
5908,Experimentelle Untersuchungen über die Mundhöhle als Eintrittspforte des Tuberkelbazillus,1923,Experimentelle Untersuchungen über die Mundhöhle als Eintrittspforte des Tuberkelbazillus
5909,Färberei- und textilchemische Untersuchungen,1923,Färberei- und textilchemische Untersuchungen
5910,Festschrift zum 60. Geburtstag des Sanitätsinspekteurs im Reichswehrministerium Generaloberstabsarzt Professor Dr. Wilhelm Schultzen,1923,Festschrift zum . Geburtstag des Sanitätsinspekteurs im Reichswehrministerium Generaloberstabsarzt Professor Dr. Wilhelm Schultzen
5911,Festschrift zum 60. Geburtstag des Sanitätsinspekteurs im Reichswehrministerium Generaloberstabsarzt Professor Dr. Wilhelm Schultzen,1923,Festschrift zum . Geburtstag des Sanitätsinspekteurs im Reichswehrministerium Generaloberstabsarzt Professor Dr. Wilhelm Schultzen
5912,Finanzen Defizit und Notenpresse 1914–1922,1914,Finanzen Defizit und Notenpresse –
5913,Formen und Kräfte in der Lebendigen Natur,1923,Formen und Kräfte in der Lebendigen Natur
5914,Fünf Fälle von Apoplexie auf kryptogenetischer Grundlage,1923,Fünf Fälle von Apoplexie auf kryptogenetischer Grundlage
5915,Fuss und Bein,1923,Fuss und Bein
5916,"G. Bauer: Der Schiffsmaschinenbau/Die Theorie des Dampfmaschinenprozesses, die Konstruktion der Kolbendampfmaschinen, Theorie und Konstruktion der Schiffschraube sowie einen theoretischen Anhang",1923,"G. Bauer: Der Schiffsmaschinenbau/Die Theorie des Dampfmaschinenprozesses, die Konstruktion der Kolbendampfmaschinen, Theorie und Konstruktion der Schiffschraube sowie einen theoretischen Anhang"
5917,Gefangenschaft und Flucht aus den Bleikammern,1923,Gefangenschaft und Flucht aus den Bleikammern
5918,Gehirn und Auge,1923,Gehirn und Auge
5919,Gehirn und Auge,1923,Gehirn und Auge
5920,Gehirn und Auge,1923,Gehirn und Auge
5921,G.H.A. Kröhnkes Taschenbuch zum Abstecken von Bögen auf Eisenbahn- und Weglinien,1923,G.H.A. Kröhnkes Taschenbuch zum Abstecken von Bögen auf Eisenbahn- und Weglinien
5922,G.H.A. Kröhnkes Taschenbuch zum Abstecken von Bögen auf Eisenbahn- und Weglinien,1923,G.H.A. Kröhnkes Taschenbuch zum Abstecken von Bögen auf Eisenbahn- und Weglinien
5923,Graphische Dynamik,1923,Graphische Dynamik
5924,Graphische Dynamik,1923,Graphische Dynamik
5925,Grippe und Grippeencephalitis 1920 in Mannheim,1920,Grippe und Grippeencephalitis  in Mannheim
5926,Grundlagen der Betriebsrechnung in Maschinenbauanstalten,1923,Grundlagen der Betriebsrechnung in Maschinenbauanstalten
5927,Grundriss der Gesundheitsfürsorge,1923,Grundriss der Gesundheitsfürsorge
5930,Grundzüge der Festigkeitslehre,1923,Grundzüge der Festigkeitslehre
5931,Grundzüge der Starkstromtechnik,1923,Grundzüge der Starkstromtechnik
5932,Grundzüge der Technischen Mechanik des Maschineningenieurs,1923,Grundzüge der Technischen Mechanik des Maschineningenieurs
5933,Grundzüge der Technischen Schwingungslehre,1923,Grundzüge der Technischen Schwingungslehre
5934,Handbuch der Fräserei,1923,Handbuch der Fräserei
5936,Handbuch der Pflanzenkrankheiten / Bd. 3. Die pflanzlichen Parasiten / Tl. 2.,1923,Handbuch der Pflanzenkrankheiten / Bd. . Die pflanzlichen Parasiten / Tl. .
5937,Handbuch des Materialprüfungswesens für Maschinen- und Bauingenieure,1923,Handbuch des Materialprüfungswesens für Maschinen- und Bauingenieure
5938,Handwörterbuch der Sexualwissenschaft,1923,Handwörterbuch der Sexualwissenschaft
5939,Hat die Häufigkeit der Paralyse seit Einführung der Salvarsanbehandlung abgenommen?,1923,Hat die Häufigkeit der Paralyse seit Einführung der Salvarsanbehandlung abgenommen?
5940,Heimtechnik,1923,Heimtechnik
5941,Hilfsbuch für Metalltechniker,1923,Hilfsbuch für Metalltechniker
5942,Hrvatsko-njemačko trgovačko dopisivanje,1923,Hrvatsko-njemačko trgovačko dopisivanje
5943,Hunger und Unterernährung,1923,Hunger und Unterernährung
5944,"Illustrierte Technische Wörterbücher in sechs Sprachen: Deutsch, .../Faserrohstoffe",1923,"Illustrierte Technische Wörterbücher in sechs Sprachen: Deutsch, .../Faserrohstoffe"
5945,Industriebetriebslehre,1923,Industriebetriebslehre
5946,Innere Sekretion und Kalkstoffwechsel,1923,Innere Sekretion und Kalkstoffwechsel
5947,Ist die Hufkrebsbehandlung mit SO&lt;Subscript&gt;2&lt;Subscript&gt;-Gas durch eine solche mit Sulfoliquid und Sulfofix zu Ersetzen?,1923,Ist die Hufkrebsbehandlung mit SO&lt;Subscript&gt;&lt;Subscript&gt;-Gas durch eine solche mit Sulfoliquid und Sulfofix zu Ersetzen?
5948,Kolben- und Turbo-Kompressoren,1923,Kolben- und Turbo-Kompressoren
5949,Kolben- und Turbo-Kompressoren,1923,Kolben- und Turbo-Kompressoren
5952,Kompendium der Statik der Baukonstruktionen,1923,Kompendium der Statik der Baukonstruktionen
5953,Konstruktions- und Herstellungsfehler bei Transmissions-Riemscheiben,1923,Konstruktions- und Herstellungsfehler bei Transmissions-Riemscheiben
5954,Kupolofenbetrieb,1923,Kupolofenbetrieb
5955,Kurzes Lehrbuch der Frauenkrankheiten,1923,Kurzes Lehrbuch der Frauenkrankheiten
5956,K. Waibels Leitfaden für die Prüfungen der Hebammen,1923,K. Waibels Leitfaden für die Prüfungen der Hebammen
5957,Kystoskopische Technik,1923,Kystoskopische Technik
5958,Landmaschinen-Adreßbuch,NA,Landmaschinen-Adreßbuch
5959,Lehrbuch der Bergbaukunde,1923,Lehrbuch der Bergbaukunde
5960,Lehrbuch der Bergbaukunde,1923,Lehrbuch der Bergbaukunde
5961,Lehrbuch der Differentialdiagnose innerer Krankheiten,1923,Lehrbuch der Differentialdiagnose innerer Krankheiten
5962,Lehrbuch der Geburtshilfe,1923,Lehrbuch der Geburtshilfe
5963,Lehrbuch der Herzkrankheiten,1923,Lehrbuch der Herzkrankheiten
5964,Lehrbuch der Psychiatrie,1923,Lehrbuch der Psychiatrie
5965,Lehrbuch der Technischen Mechanik für Ingenieure und Studierende,1923,Lehrbuch der Technischen Mechanik für Ingenieure und Studierende
5966,Lehrbuch der Topographischen Anatomie,1923,Lehrbuch der Topographischen Anatomie
5967,Lehrgang der Gabelsbergerschen Stenographie / Teil 1. Die Verkehrsschrift,1923,Lehrgang der Gabelsbergerschen Stenographie / Teil . Die Verkehrsschrift
5968,Leitfaden der Holzmeßkunde,1923,Leitfaden der Holzmeßkunde
5971,Leitfaden für das Maschinenzeichnen,1923,Leitfaden für das Maschinenzeichnen
5972,"Leitfaden für den Unterricht in Stein-, Holz- und Eisenkonstruktionen an maschinentechnischen Fachschulen",1923,"Leitfaden für den Unterricht in Stein-, Holz- und Eisenkonstruktionen an maschinentechnischen Fachschulen"
5973,Maschinenkunde,1923,Maschinenkunde
5974,Mechanisch- und physikalisch-technische Textiluntersuchungen,1923,Mechanisch- und physikalisch-technische Textiluntersuchungen
5977,Merkblatt über das Verfohlen der Stuten und die Fohlenlähme,1923,Merkblatt über das Verfohlen der Stuten und die Fohlenlähme
5978,Meßgeräte und Schaltungen für Wechselstrom-Leistungsmessungen,1923,Meßgeräte und Schaltungen für Wechselstrom-Leistungsmessungen
5979,Meßgeräte und Schaltungen zum Parallelschalten von Wechselstrom-Maschinen,1923,Meßgeräte und Schaltungen zum Parallelschalten von Wechselstrom-Maschinen
5980,Meßtechnik,1923,Meßtechnik
5981,Meßtechnik,1923,Meßtechnik
5982,"Mischen Rühren, Kneten und die Dazu Verwendeten Maschinen",1923,"Mischen Rühren, Kneten und die Dazu Verwendeten Maschinen"
5983,Multiple Dickdarmdivertikel,1923,Multiple Dickdarmdivertikel
5984,"Nordsee-Handbuch / [Hauptbd.]. Abgeschlossen mit ""Nachrichten für Seefahrer"" einschließlich Ausgabe 45 vom 3. November 1923",1923,"Nordsee-Handbuch / [Hauptbd.]. Abgeschlossen mit ""Nachrichten für Seefahrer"" einschließlich Ausgabe  vom . November "
5985,Öle und Fette in der Ernährung,1923,Öle und Fette in der Ernährung
5986,"Österreichisches Geburts-Register / Band 4. / Suppl. 7. Österreichisches Geburts-Register Jahrgang 1922 und Nachträge zu den Jahrgängen 1908, 1911, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920 und 1921",1922,"Österreichisches Geburts-Register / Band . / Suppl. . Österreichisches Geburts-Register Jahrgang  und Nachträge zu den Jahrgängen , , , , , , , , ,  und "
5987,Organisation und Betriebsführung der Betontiefbaustellen,1923,Organisation und Betriebsführung der Betontiefbaustellen
5988,"Pathologisch-anatomischer Befund eines Falles von Thrombose der Vena centralis mit nachfolgendem Sekundärglaukom, der bei therapeutischer Trepanation nach Elliot trotz guter Filtrationsnarbe die Enukleation des Auges nötig machte",1923,"Pathologisch-anatomischer Befund eines Falles von Thrombose der Vena centralis mit nachfolgendem Sekundärglaukom, der bei therapeutischer Trepanation nach Elliot trotz guter Filtrationsnarbe die Enukleation des Auges nötig machte"
5990,Protein-Therapie und Unspezifische Leistungssteigerung,1923,Protein-Therapie und Unspezifische Leistungssteigerung
5991,Regeln für die Bewertung und Prüfung von elektrischen Maschinen (R.E.M. 1923),1923,Regeln für die Bewertung und Prüfung von elektrischen Maschinen (R.E.M. )
5992,Regeln für die Bewertung und Prüfung von Transformatoren (R.E.T. 1923),1923,Regeln für die Bewertung und Prüfung von Transformatoren (R.E.T. )
5993,Rezepttaschenbuch (nebst Anhang),1923,Rezepttaschenbuch (nebst Anhang)
